Date,Close,High,Low,Open,Volume
2024-12-09,264.0,278.0,264.0,268.0,494
2024-12-10,256.0,269.3999938964844,254.0,266.0,345
2024-12-11,252.0,259.79998779296875,248.0,258.0,400
2024-12-12,250.0,256.0,246.0,256.0,256
2024-12-13,254.0,260.0,248.0,248.0,264
2024-12-16,253.0,260.0,250.0,260.0,271
2024-12-17,256.0,258.0,246.0,258.0,246
2024-12-18,250.0,262.0,250.0,262.0,298
2024-12-19,242.0,254.0,242.0,250.0,302
2024-12-20,242.0,252.0,234.0,248.0,387
2024-12-23,242.0,252.0,234.0,242.0,474
2024-12-24,241.0,246.0,236.0,240.0,194
2024-12-26,266.0,277.6000061035156,240.0,240.0,768
2024-12-27,284.0,298.0,272.0,288.0,5349
2024-12-30,282.0,296.0,262.0,276.0,1245
2024-12-31,238.0,330.0,212.0,284.0,7870
2025-01-02,248.0,258.20001220703125,238.0,238.0,647
2025-01-03,262.0,273.6000061035156,252.1999969482422,256.0,767
2025-01-06,254.0,274.0,250.0,264.0,432
2025-01-07,246.0,257.0,244.1999969482422,254.0,345
2025-01-08,230.0,250.0,228.0,246.0,592
2025-01-10,226.0,242.0,214.0,240.0,905
2025-01-13,204.0,226.0,192.0,226.0,1296
2025-01-14,208.0,226.0,204.0,206.0,885
2025-01-15,216.0,220.0,208.0,214.0,249
2025-01-16,222.0,224.0,216.0,216.0,300
2025-01-17,228.0,238.0,210.0,222.0,512
2025-01-21,230.0,234.0,216.0,232.0,266
2025-01-22,222.0,236.0,218.0,236.0,205
2025-01-23,220.0,224.0,210.0,224.0,404
2025-01-24,226.0,228.0,216.0,222.0,264
2025-01-27,226.0,226.0,214.0,226.0,389
2025-01-28,214.0,226.0,206.0,222.0,264
2025-01-29,222.0,224.6000061035156,214.0,214.0,217
2025-01-30,206.0,218.0,204.0,204.0,211
2025-01-31,204.0,220.0,170.0,208.0,676
2025-02-03,194.0,203.0,186.3999938964844,202.0,327
2025-02-04,206.0,206.0,189.6000061035156,192.0,233
2025-02-05,208.0,214.0,199.0,208.0,290
2025-02-06,206.0,218.0,202.0,208.0,87
2025-02-07,196.0,212.0,194.0,204.1999969482422,65
2025-02-10,190.6000061035156,193.8000030517578,190.0,193.8000030517578,303
2025-02-11,184.0,193.6000061035156,183.0,193.6000061035156,342
2025-02-12,172.0,186.0,172.0,184.6000061035156,529
2025-02-13,176.8000030517578,183.0,172.0,172.0,220
2025-02-14,182.0,186.0,180.0,180.0,169
2025-02-18,188.0,189.0,183.8000030517578,186.0,176
2025-02-19,192.0,192.0,184.0,185.0,198
2025-02-20,212.0,212.0,186.0,191.3999938964844,376
2025-02-21,218.0,220.0,204.0,212.0,421
2025-02-24,204.0,208.0,200.0,208.0,273
2025-02-25,186.0,204.0,172.0,202.0,397
2025-02-26,188.0,192.0,177.0,186.0,113
2025-02-27,185.6000061035156,198.0,177.1999969482422,198.0,103
