Date,Close,High,Low,Open,Volume
2024-12-09,102.5,117.75,102.25,115.0,1324
2024-12-10,97.75,105.0,95.25,100.0,577
2024-12-11,90.25,136.75,80.25,127.5,311326
2024-12-12,95.0,98.75,75.0,87.5,40906
2024-12-13,79.25,89.25,77.75,87.5,13157
2024-12-16,68.0,77.5,63.25,75.75,16868
2024-12-17,106.0,107.0,60.0,66.0,34452
2024-12-18,82.25,105.0,76.25,77.75,35946
2024-12-19,85.5,97.5,77.75,86.75,18182
2024-12-20,83.25,88.25,75.0,80.25,11019
2024-12-23,87.5,99.75,82.5,93.75,18180
2024-12-24,85.0,89.75,82.5,89.5,6836
2024-12-26,96.25,99.25,85.5,89.75,13419
2024-12-27,107.0,108.25,90.75,97.5,19675
2024-12-30,103.75,112.5,85.0,112.5,17748
2024-12-31,101.25,110.0,92.5,110.0,13212
2025-01-02,104.25,122.5,100.25,102.5,18740
2025-01-03,99.0,108.75,93.75,105.0,9512
2025-01-06,99.75,103.75,92.5,100.0,11114
2025-01-07,92.25,97.75,88.0,95.0,8127
2025-01-08,91.25,92.0,78.75,91.25,7591
2025-01-10,92.5,95.0,85.0,92.5,7480
2025-01-13,78.75,87.0,70.5,86.25,76849
2025-01-14,82.5,84.0,75.0,80.0,8680
2025-01-15,89.0,95.5,73.25,73.5,13541
2025-01-16,78.75,89.75,77.5,85.0,7415
2025-01-17,87.25,88.25,78.75,78.75,7763
2025-01-21,71.25,81.25,67.75,77.75,138690
2025-01-22,67.75,70.25,64.5,70.0,13046
2025-01-23,67.75,70.0,62.5,63.25,6037
2025-01-24,66.25,70.5,62.0,62.0,4896
2025-01-27,67.5,67.5,63.75,64.25,3565
2025-01-28,69.75,71.25,62.5,64.0,3773
2025-01-29,67.25,68.75,64.5,65.25,3163
2025-01-30,64.75,67.5,61.25,66.5,4638
2025-01-31,37.25,43.5,35.0,43.5,59495
2025-02-03,33.75,38.75,27.75,35.0,26411
2025-02-04,31.75,33.75,30.25,30.75,12513
2025-02-05,30.5,34.0,28.25,31.5,8566
2025-02-06,38.75,46.5,30.25,31.25,179012
2025-02-07,33.5,45.0,27.25,44.5,403333
2025-02-10,30.0,35.5,27.75,29.5,239167
2025-02-11,505.0,597.5,465.0,537.5,5214
2025-02-12,532.5,672.5,467.5,467.5,8106
2025-02-13,487.5,569.75,462.5,525.0,3000
2025-02-14,487.5,527.5,467.5,500.0,2956
2025-02-18,547.5,620.0,520.0,530.0,12186
2025-02-19,567.5,721.75,550.0,667.5,48266
2025-02-20,585.0,697.5,537.5,650.0,78121
2025-02-21,527.5,552.25,487.5,525.0,5927
2025-02-24,645.0,665.5,537.5,550.0,7973
2025-02-25,595.0,630.0,537.5,597.5,3059
2025-02-26,585.0,605.0,562.5,605.0,1592
2025-02-27,602.5,660.0,580.0,585.0,4700
2025-02-28,515.0,550.0,485.0,505.0,4551
2025-03-03,405.0,535.0,354.5,530.0,5536
